# frame, 2d, 3d
-1.047197551196597631e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.026042045111817957e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.004886539027038062e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.837310329422583877e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.625755268574786028e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.414200207726988179e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.202645146879191440e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.991090086031393591e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.779535025183595742e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.567979964335799004e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.356424903488001155e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.144869842640203306e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.933314781792406567e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.721759720944608718e-01 1.000000000000000000e+00 9.999000000000001220e-01
-7.510204660096810869e-01 9.999250000000001748e-01 9.992375000000000007e-01
-7.298649599249014130e-01 9.993250000000000188e-01 9.982874999999999943e-01
-7.087094538401216282e-01 9.979374999999999218e-01 9.969250000000000611e-01
-6.875539477553418433e-01 9.959500000000001130e-01 9.946625000000000050e-01
-6.663984416705621694e-01 9.932750000000000190e-01 9.917875000000000441e-01
-6.452429355857823845e-01 9.901375000000000037e-01 9.885249999999999870e-01
-6.240874295010025996e-01 9.867625000000000979e-01 9.851875000000001048e-01
-6.029319234162229257e-01 9.826250000000000817e-01 9.810624999999999485e-01
-5.817764173314431408e-01 9.787750000000000616e-01 9.768999999999999906e-01
-5.606209112466633560e-01 9.745999999999999108e-01 9.725250000000000838e-01
-5.394654051618836821e-01 9.706624999999999837e-01 9.683125000000000204e-01
-5.183098990771038972e-01 9.669875000000001108e-01 9.644250000000000878e-01
-4.971543929923241123e-01 9.635500000000000176e-01 9.612625000000000197e-01
-4.759988869075443274e-01 9.609999999999999654e-01 9.581499999999999462e-01
-4.548433808227646535e-01 9.586124999999999785e-01 9.553000000000000380e-01
-4.336878747379848686e-01 9.565500000000001224e-01 9.533000000000000362e-01
-4.125323686532050838e-01 9.547499999999998765e-01 9.513124999999998943e-01
-3.913768625684254099e-01 9.529375000000001039e-01 9.497500000000000941e-01
-3.702213564836456250e-01 9.508749999999999147e-01 9.484750000000001791e-01
